content_length,follower_count,ER,hour,description_score,hashtag_count,desciption_word_count,day_sin,day_cos,content_type_mixed,content_type_text,content_type_video
77,738090,1.6270373531683129,4,-0.125,4,9,0.0,1.0,0,0,1
43,477195,2.5446620354362475,7,0.018518518518518517,1,19,0.0,1.0,0,0,0
169,206546,5.849060257763404,9,0.4,5,22,0.0,1.0,0,0,1
484,738764,1.638818350650546,11,-0.04928451178451179,2,26,0.0,1.0,0,0,1
555,97299,12.7544990184894,12,-0.10625000000000001,1,26,0.0,1.0,0,0,1
532,435193,2.742920956908774,13,-0.3125,4,8,0.0,1.0,0,0,0
279,515510,2.3211964850342377,15,0.0,2,17,0.0,1.0,1,0,0
189,611268,1.9811277541111263,17,0.011111111111111127,5,29,0.0,1.0,0,0,1
268,918846,1.3057683224392336,21,0.15000000000000002,2,7,0.0,1.0,0,0,0
488,750157,1.6081966841607824,4,0.11363636363636363,5,14,0.7818314824680298,0.6234898018587336,0,0,1
10,412713,2.922854380647084,10,0.12142857142857144,5,30,0.7818314824680298,0.6234898018587336,0,1,0
68,532345,2.283857273009045,11,-0.024999999999999994,1,13,0.7818314824680298,0.6234898018587336,0,0,1
447,42669,28.287515526494644,12,-0.5,5,16,0.7818314824680298,0.6234898018587336,0,0,1
112,670237,1.7643012844710155,15,0.08333333333333333,3,19,0.7818314824680298,0.6234898018587336,0,0,0
184,703135,1.7512995370732503,17,0.06666666666666667,5,21,0.7818314824680298,0.6234898018587336,0,0,1
150,399778,3.0606986877717133,20,0.19814814814814816,0,20,0.7818314824680298,0.6234898018587336,0,0,1
420,706853,1.723979384681115,21,0.14285714285714285,2,20,0.7818314824680298,0.6234898018587336,0,0,1
539,872702,1.3824879512135873,22,0.10357142857142858,3,18,0.7818314824680298,0.6234898018587336,0,0,1
172,85471,14.08664927285278,3,0.2325,4,13,0.9749279121818236,-0.22252093395631434,0,0,1
77,299907,4.031916560800515,7,-0.02500000000000001,5,20,0.9749279121818236,-0.22252093395631434,0,0,1
78,897133,1.341941495854015,7,-0.125,1,11,0.9749279121818236,-0.22252093395631434,1,0,0
27,102383,11.803717414023811,11,0.4,1,13,0.9749279121818236,-0.22252093395631434,1,0,0
391,114931,10.423645491642812,14,-0.041666666666666664,5,17,0.9749279121818236,-0.22252093395631434,0,0,1
362,888159,1.380608652279603,14,-0.12222222222222223,1,17,0.9749279121818236,-0.22252093395631434,0,0,1
173,820612,1.4707316003178115,16,0.18482142857142858,2,32,0.9749279121818236,-0.22252093395631434,0,0,1
141,185234,6.470734314434715,17,-0.021875,4,18,0.9749279121818236,-0.22252093395631434,0,0,0
43,795356,1.5081296928670935,20,0.19285714285714284,3,31,0.9749279121818236,-0.22252093395631434,1,0,0
497,721245,1.6983133331946842,23,-0.03333333333333333,0,24,0.9749279121818236,-0.22252093395631434,0,0,1
66,306392,3.9296065171414396,0,0.16666666666666666,4,18,0.43388373911755823,-0.900968867902419,0,0,1
112,441394,2.721378179132476,0,0.0,5,11,0.43388373911755823,-0.900968867902419,0,0,0
58,492563,2.439078858947992,4,0.125,5,17,0.43388373911755823,-0.900968867902419,0,1,0
138,884342,1.3800090915053227,4,0.3,4,20,0.43388373911755823,-0.900968867902419,0,0,0
452,627526,1.911952652161026,5,0.03333333333333333,4,18,0.43388373911755823,-0.900968867902419,0,0,1
361,554425,2.16187942462912,5,-0.1,0,16,0.43388373911755823,-0.900968867902419,1,0,0
37,368593,3.2740719438513484,5,0.4,2,11,0.43388373911755823,-0.900968867902419,0,0,0
122,88630,13.665801647297753,6,0.0,3,11,0.43388373911755823,-0.900968867902419,0,0,1
525,443226,2.734496622490558,7,0.07916666666666666,1,16,0.43388373911755823,-0.900968867902419,0,0,0
